id,faculty_id,sub_title,subsub_title,lesson_title,lesson_term,lesson_date,lesson_credit,lesson_professor,lesson_objectives,lesson_content,lesson_style,lesson_evaluation,lesson_textbook,lesson_read,lesson_officehour,lesson_info,evaluate_exam,evaluate_report,evaluate_mintest,evaluate_apply,evaluate_others,evaluate_total,url,year
1,1,総合教育科目,基礎科目,基礎研究,前期,月１,2," 秋山　孝信","
            ・主体的に学ぶ意味と喜びを意識することができる。
            ・２週に亘るキャリア教育を通じて，将来の進路を見据えた，自分のキャリアをデザインすることができる。
            ・日本大学と所属学部について説明することができる。
            ・積極的に授業に参加する態度を示すことができる。
            ・テキストの読み方を修得し，テキストの趣旨を正しく読み解くことができる。
            ・ノートの取り方を修得し，効果的なノートテイキングができる。
            ・資料の収集や検索の方法を修得し，それを実践することができる。
            ・発表資料を作成し，分かりやすいプレゼンテーションをすることができる。
            ・レポートの書き方を修得し，論理的な文章を作成することができる。","
            本講義は，大学入学までの受動的な学習からの転換を図り，「自ら考え，行動し，創り上げる」日本大学の学生としての能動的な学修を導くことを目的とする。","
            本講義は，アクティブ・ラーニングの授業形態をとる。したがって，知識を覚えることに終始するのではなく，自ら考え行動することができるようになるため，「個人ワーク」，「グループワーク」，「発表・共有」の繰り返しにより授業を進める。なお，具体的な講義内容及び授業の進め方，評価方法については，自分が所属するクラスの担当教員の指示に従うこと。",,,,,,0,0,0,0,0,0,http://www.eco.nihon-u.ac.jp/about/disclosure/syllabus_2018/2018_AA00001001.html,2018
2,1,総合教育科目,基礎科目,基礎研究,前期,水１,2," 有馬　守康","
            ・主体的に学ぶ意味と喜びを意識することができる。
            ・２週に亘るキャリア教育を通じて，将来の進路を見据えた，自分のキャリアをデザインすることができる。
            ・日本大学と所属学部について説明することができる。
            ・積極的に授業に参加する態度を示すことができる。
            ・テキストの読み方を修得し，テキストの趣旨を正しく読み解くことができる。
            ・ノートの取り方を修得し，効果的なノートテイキングができる。
            ・資料の収集や検索の方法を修得し，それを実践することができる。
            ・発表資料を作成し，分かりやすいプレゼンテーションをすることができる。
            ・レポートの書き方を修得し，論理的な文章を作成することができる。","
            本講義は，大学入学までの受動的な学習からの転換を図り，「自ら考え，行動し，創り上げる」日本大学の学生としての能動的な学修を導くことを目的とする。","
            本講義は，アクティブ・ラーニングの授業形態をとる。したがって，知識を覚えることに終始するのではなく，自ら考え行動することができるようになるため，「個人ワーク」，「グループワーク」，「発表・共有」の繰り返しにより授業を進める。なお，具体的な講義内容及び授業の進め方，評価方法については，自分が所属するクラスの担当教員の指示に従うこと。",,,,,,0,0,0,0,0,0,http://www.eco.nihon-u.ac.jp/about/disclosure/syllabus_2018/2018_AA00001002.html,2018
3,1,総合教育科目,基礎科目,基礎研究,前期,水１,2," 池本　修一","
            ・主体的に学ぶ意味と喜びを意識することができる。
            ・２週に亘るキャリア教育を通じて，将来の進路を見据えた，自分のキャリアをデザインすることができる。
            ・日本大学と所属学部について説明することができる。
            ・積極的に授業に参加する態度を示すことができる。
            ・テキストの読み方を修得し，テキストの趣旨を正しく読み解くことができる。
            ・ノートの取り方を修得し，効果的なノートテイキングができる。
            ・資料の収集や検索の方法を修得し，それを実践することができる。
            ・発表資料を作成し，分かりやすいプレゼンテーションをすることができる。
            ・レポートの書き方を修得し，論理的な文章を作成することができる。","
            本講義は，大学入学までの受動的な学習からの転換を図り，「自ら考え，行動し，創り上げる」日本大学の学生としての能動的な学修を導くことを目的とする。","
            本講義は，アクティブ・ラーニングの授業形態をとる。したがって，知識を覚えることに終始するのではなく，自ら考え行動することができるようになるため，「個人ワーク」，「グループワーク」，「発表・共有」の繰り返しにより授業を進める。なお，具体的な講義内容及び授業の進め方，評価方法については，自分が所属するクラスの担当教員の指示に従うこと。",,,,,,0,0,0,0,0,0,http://www.eco.nihon-u.ac.jp/about/disclosure/syllabus_2018/2018_AA00001003.html,2018
4,1,総合教育科目,基礎科目,基礎研究,前期,木１,2," 伊佐敷　隆弘","
            ・主体的に学ぶ意味と喜びを意識することができる。
            ・２週に亘るキャリア教育を通じて，将来の進路を見据えた，自分のキャリアをデザインすることができる。
            ・日本大学と所属学部について説明することができる。
            ・積極的に授業に参加する態度を示すことができる。
            ・テキストの読み方を修得し，テキストの趣旨を正しく読み解くことができる。
            ・ノートの取り方を修得し，効果的なノートテイキングができる。
            ・資料の収集や検索の方法を修得し，それを実践することができる。
            ・発表資料を作成し，分かりやすいプレゼンテーションをすることができる。
            ・レポートの書き方を修得し，論理的な文章を作成することができる。","
            本講義は，大学入学までの受動的な学習からの転換を図り，「自ら考え，行動し，創り上げる」日本大学の学生としての能動的な学修を導くことを目的とする。","
            本講義は，アクティブ・ラーニングの授業形態をとる。したがって，知識を覚えることに終始するのではなく，自ら考え行動することができるようになるため，「個人ワーク」，「グループワーク」，「発表・共有」の繰り返しにより授業を進める。なお，具体的な講義内容及び授業の進め方，評価方法については，自分が所属するクラスの担当教員の指示に従うこと。",,,,,,0,0,0,0,0,0,http://www.eco.nihon-u.ac.jp/about/disclosure/syllabus_2018/2018_AA00001004.html,2018
5,1,総合教育科目,基礎科目,基礎研究,前期,金１,2," 石川　恵子","
            ・主体的に学ぶ意味と喜びを意識することができる。
            ・２週に亘るキャリア教育を通じて，将来の進路を見据えた，自分のキャリアをデザインすることができる。
            ・日本大学と所属学部について説明することができる。
            ・積極的に授業に参加する態度を示すことができる。
            ・テキストの読み方を修得し，テキストの趣旨を正しく読み解くことができる。
            ・ノートの取り方を修得し，効果的なノートテイキングができる。
            ・資料の収集や検索の方法を修得し，それを実践することができる。
            ・発表資料を作成し，分かりやすいプレゼンテーションをすることができる。
            ・レポートの書き方を修得し，論理的な文章を作成することができる。","
            本講義は，大学入学までの受動的な学習からの転換を図り，「自ら考え，行動し，創り上げる」日本大学の学生としての能動的な学修を導くことを目的とする。","
            本講義は，アクティブ・ラーニングの授業形態をとる。したがって，知識を覚えることに終始するのではなく，自ら考え行動することができるようになるため，「個人ワーク」，「グループワーク」，「発表・共有」の繰り返しにより授業を進める。なお，具体的な講義内容及び授業の進め方，評価方法については，自分が所属するクラスの担当教員の指示に従うこと。",,,,,,0,0,0,0,0,0,http://www.eco.nihon-u.ac.jp/about/disclosure/syllabus_2018/2018_AA00001005.html,2018
6,1,総合教育科目,基礎科目,基礎研究,前期,火１,2," 位田　将司","
            ・主体的に学ぶ意味と喜びを意識することができる。
            ・２週に亘るキャリア教育を通じて，将来の進路を見据えた，自分のキャリアをデザインすることができる。
            ・日本大学と所属学部について説明することができる。
            ・積極的に授業に参加する態度を示すことができる。
            ・テキストの読み方を修得し，テキストの趣旨を正しく読み解くことができる。
            ・ノートの取り方を修得し，効果的なノートテイキングができる。
            ・資料の収集や検索の方法を修得し，それを実践することができる。
            ・発表資料を作成し，分かりやすいプレゼンテーションをすることができる。
            ・レポートの書き方を修得し，論理的な文章を作成することができる。","
            本講義は，大学入学までの受動的な学習からの転換を図り，「自ら考え，行動し，創り上げる」日本大学の学生としての能動的な学修を導くことを目的とする。","
            本講義は，アクティブ・ラーニングの授業形態をとる。したがって，知識を覚えることに終始するのではなく，自ら考え行動することができるようになるため，「個人ワーク」，「グループワーク」，「発表・共有」の繰り返しにより授業を進める。なお，具体的な講義内容及び授業の進め方，評価方法については，自分が所属するクラスの担当教員の指示に従うこと。",,,,,,0,0,0,0,0,0,http://www.eco.nihon-u.ac.jp/about/disclosure/syllabus_2018/2018_AA00001006.html,2018
7,1,総合教育科目,基礎科目,基礎研究,前期,水１,2," 上野　賢一","
            ・主体的に学ぶ意味と喜びを意識することができる。
            ・２週に亘るキャリア教育を通じて，将来の進路を見据えた，自分のキャリアをデザインすることができる。
            ・日本大学と所属学部について説明することができる。
            ・積極的に授業に参加する態度を示すことができる。
            ・テキストの読み方を修得し，テキストの趣旨を正しく読み解くことができる。
            ・ノートの取り方を修得し，効果的なノートテイキングができる。
            ・資料の収集や検索の方法を修得し，それを実践することができる。
            ・発表資料を作成し，分かりやすいプレゼンテーションをすることができる。
            ・レポートの書き方を修得し，論理的な文章を作成することができる。","
            本講義は，大学入学までの受動的な学習からの転換を図り，「自ら考え，行動し，創り上げる」日本大学の学生としての能動的な学修を導くことを目的とする。","
            本講義は，アクティブ・ラーニングの授業形態をとる。したがって，知識を覚えることに終始するのではなく，自ら考え行動することができるようになるため，「個人ワーク」，「グループワーク」，「発表・共有」の繰り返しにより授業を進める。なお，具体的な講義内容及び授業の進め方，評価方法については，自分が所属するクラスの担当教員の指示に従うこと。",,,,,,0,0,0,0,0,0,http://www.eco.nihon-u.ac.jp/about/disclosure/syllabus_2018/2018_AA00001007.html,2018
8,1,総合教育科目,基礎科目,基礎研究,前期,木１,2," 卜部　勝彦","
            ・主体的に学ぶ意味と喜びを意識することができる。
            ・２週に亘るキャリア教育を通じて，将来の進路を見据えた，自分のキャリアをデザインすることができる。
            ・日本大学と所属学部について説明することができる。
            ・積極的に授業に参加する態度を示すことができる。
            ・テキストの読み方を修得し，テキストの趣旨を正しく読み解くことができる。
            ・ノートの取り方を修得し，効果的なノートテイキングができる。
            ・資料の収集や検索の方法を修得し，それを実践することができる。
            ・発表資料を作成し，分かりやすいプレゼンテーションをすることができる。
            ・レポートの書き方を修得し，論理的な文章を作成することができる。","
            本講義は，大学入学までの受動的な学習からの転換を図り，「自ら考え，行動し，創り上げる」日本大学の学生としての能動的な学修を導くことを目的とする。","
            本講義は，アクティブ・ラーニングの授業形態をとる。したがって，知識を覚えることに終始するのではなく，自ら考え行動することができるようになるため，「個人ワーク」，「グループワーク」，「発表・共有」の繰り返しにより授業を進める。なお，具体的な講義内容及び授業の進め方，評価方法については，自分が所属するクラスの担当教員の指示に従うこと。",,,,,,0,0,0,0,0,0,http://www.eco.nihon-u.ac.jp/about/disclosure/syllabus_2018/2018_AA00001008.html,2018
9,1,総合教育科目,基礎科目,基礎研究,前期,木１,2," 江上　哲","
            ・主体的に学ぶ意味と喜びを意識することができる。
            ・２週に亘るキャリア教育を通じて，将来の進路を見据えた，自分のキャリアをデザインすることができる。
            ・日本大学と所属学部について説明することができる。
            ・積極的に授業に参加する態度を示すことができる。
            ・テキストの読み方を修得し，テキストの趣旨を正しく読み解くことができる。
            ・ノートの取り方を修得し，効果的なノートテイキングができる。
            ・資料の収集や検索の方法を修得し，それを実践することができる。
            ・発表資料を作成し，分かりやすいプレゼンテーションをすることができる。
            ・レポートの書き方を修得し，論理的な文章を作成することができる。","
            本講義は，大学入学までの受動的な学習からの転換を図り，「自ら考え，行動し，創り上げる」日本大学の学生としての能動的な学修を導くことを目的とする。","
            本講義は，アクティブ・ラーニングの授業形態をとる。したがって，知識を覚えることに終始するのではなく，自ら考え行動することができるようになるため，「個人ワーク」，「グループワーク」，「発表・共有」の繰り返しにより授業を進める。なお，具体的な講義内容及び授業の進め方，評価方法については，自分が所属するクラスの担当教員の指示に従うこと。",,,,,,0,0,0,0,0,0,http://www.eco.nihon-u.ac.jp/about/disclosure/syllabus_2018/2018_AA00001009.html,2018
10,1,総合教育科目,基礎科目,基礎研究,前期,水１,2," 大内　雅浩","
            ・主体的に学ぶ意味と喜びを意識することができる。
            ・２週に亘るキャリア教育を通じて，将来の進路を見据えた，自分のキャリアをデザインすることができる。
            ・日本大学と所属学部について説明することができる。
            ・積極的に授業に参加する態度を示すことができる。
            ・テキストの読み方を修得し，テキストの趣旨を正しく読み解くことができる。
            ・ノートの取り方を修得し，効果的なノートテイキングができる。
            ・資料の収集や検索の方法を修得し，それを実践することができる。
            ・発表資料を作成し，分かりやすいプレゼンテーションをすることができる。
            ・レポートの書き方を修得し，論理的な文章を作成することができる。","
            本講義は，大学入学までの受動的な学習からの転換を図り，「自ら考え，行動し，創り上げる」日本大学の学生としての能動的な学修を導くことを目的とする。","
            本講義は，アクティブ・ラーニングの授業形態をとる。したがって，知識を覚えることに終始するのではなく，自ら考え行動することができるようになるため，「個人ワーク」，「グループワーク」，「発表・共有」の繰り返しにより授業を進める。なお，具体的な講義内容及び授業の進め方，評価方法については，自分が所属するクラスの担当教員の指示に従うこと。",,,,,,0,0,0,0,0,0,http://www.eco.nihon-u.ac.jp/about/disclosure/syllabus_2018/2018_AA00001010.html,2018
